Park Name,Recreation Visit,Concessioner Lodging,Concessioner Camping,Tent Camping,RV Camping,Backcountry Camping,Total Overnight Stays
Acadia NP,"3,970,260",0,"1,884","136,183","49,647","1,472","189,186"
Arches NP,"1,460,652",0,0,"14,913","20,216",272,"35,401"
Badlands NP,"1,006,809","10,375","14,929","2,710",590,"2,319","30,923"
Big Bend NP,"514,107","18,184","3,213","26,609","20,415","55,173","123,594"
Biscayne NP,"701,023",0,0,"2,267",0,0,"2,267"
Black Canyon of the Gunnison NP,"297,257",0,0,"14,854","12,945","1,685","29,484"
Bryce Canyon NP,"2,354,660","45,674",0,"45,527","40,305","1,657","133,163"
Canyonlands NP,"779,147",0,0,"7,500","7,955","80,264","95,719"
Capitol Reef NP,"1,227,608",0,0,"24,023","25,923","3,393","53,339"
Carlsbad Caverns NP,"390,932",0,0,0,0,66,66
Channel Islands NP,"323,245",0,0,0,0,"28,210","28,210"
Congaree NP,"204,522",0,0,"6,055",0,805,"6,860"
Crater Lake NP,"527,259","31,154","24,384",0,0,"1,588","57,126"
Cuyahoga Valley NP,"2,913,312","6,586",0,0,0,0,"6,586"
Death Valley NP,"1,128,862","23,067","2,862","81,453","95,799","3,283","206,464"
Denali NP,"427,562",0,"19,877",0,0,"33,335","53,212"
Dry Tortugas NP,"78,488",0,0,"5,324",0,0,"5,324"
Everglades NP,"1,155,193",0,"64,607",0,0,"12,305","76,912"
Gates of the Arctic NP ,"9,457",0,0,0,0,"4,017","4,017"
Gateway Arch NP,"1,618,774",0,0,0,0,0,0
Glacier Bay NP,"545,758","15,554",0,724,0,"3,741","20,019"
Glacier NP,"2,908,458","110,380",0,"90,422","112,485","28,261","341,548"
Grand Canyon NP,"4,732,101","526,467","39,400","89,825","56,759","331,623","1,044,074"
Grand Teton NP,"2,806,223","196,981","402,336",0,0,"40,010","639,327"
Great Basin NP,"142,115",0,0,"23,091","24,433",316,"47,840"
Great Sand Dunes NP ,"493,428",0,0,"31,799","25,137","10,274","67,210"
Great Smoky Mountains NP,"12,937,633","10,461",0,"213,092","158,750","96,762","479,065"
Guadalupe Mountains NP,"219,987",0,0,"17,114","9,607","1,615","28,336"
Haleakala NP,"1,087,616",0,0,"20,614",0,"5,604","26,218"
Hawaii Volcanoes NP,"1,580,961","34,075","7,516",936,152,"4,864","47,543"
Hot Springs NP,"2,646,133",0,0,633,"35,741",0,"36,374"
Indiana Dunes NP,"2,834,180",0,0,"22,460","11,039",0,"33,499"
Isle Royale NP,"25,454","11,119",217,"6,201",0,"27,619","45,156"
Joshua Tree NP,"3,058,294",0,0,"211,452","97,494","12,591","321,537"
Katmai NP,"33,908","4,867",0,"5,812",0,"5,391","16,070"
Kenai Fjords NP,"389,943",0,0,556,0,70,626
Kings Canyon NP,"640,986","35,167",0,"111,236","34,940","13,798","195,141"
Kobuk Valley NP,"16,925",0,0,0,0,"7,350","7,350"
Lake Clark NP,"18,187",0,0,0,0,"5,421","5,421"
Lassen Volcanic NP,"446,291",0,0,"60,426","29,355",903,"90,684"
Mammoth Cave NP,"663,147","14,941",0,"43,487","18,810","4,802","82,040"
Mesa Verde NP,"499,790","19,088",0,"21,920","29,520",0,"70,528"
Mount Rainier NP,"1,622,395","37,779",0,"54,851","32,799","43,468","168,897"
National Park of American Samoa,"1,887",0,0,0,0,0,0
New River Gorge NP,"1,593,523",0,0,"16,061","9,963","12,530","38,554"
North Cascades NP,"30,154",0,0,0,0,"23,310","23,310"
Olympic NP,"2,432,972","69,525","12,781","137,274","102,358","133,751","455,689"
Petrified Forest NP,"505,209",0,0,0,0,789,789
Pinnacles NP,"275,023",0,"31,930",0,0,0,"31,930"
Redwood NP,"458,400",0,0,"4,747",0,"12,582","17,329"
Rocky Mountain NP,"4,300,424",0,0,"110,586","55,326","34,645","200,557"
Saguaro NP,"908,194",0,0,0,0,"3,706","3,706"
Sequoia NP,"1,153,198","40,016",0,"102,700","50,295","31,562","224,573"
Shenandoah NP,"1,449,300","48,112",0,"108,384","65,223","67,738","289,457"
Theodore Roosevelt NP,"668,679",0,0,"13,441","22,321",658,"36,420"
Virgin Islands NP,"196,752","1,147","2,043",0,0,0,"3,190"
Voyageurs NP,"221,434","2,891",0,0,0,"43,566","46,457"
White Sands NP,"705,127",0,0,0,0,0,0
Wind Cave NP,"607,418",0,0,"4,865","5,528",435,"10,828"
Wrangell-St. Elias NP ,"65,236",0,0,0,0,195,195
Yellowstone NP,"3,290,242","492,529","439,752","10,909","18,454","34,758","996,402"
Yosemite NP,"3,667,550","644,508",0,"349,888","220,100","142,457","1,356,953"
Zion NP,"4,692,417","56,528",0,"133,666","93,947","10,375","294,516"