State,Park,Number of visitors per year,Longitude,Latitude
Maine,Acadia NP,3970260,-68.0493,44.454
Utah,Arches NP,1460652,-109.565,38.77
South Dakota,Badlands NP,1006809,-102.4343,43.6504
Texas,Big Bend NP,514107,-103.2432,29.3816
Florida,Biscayne NP,701023,-80.2619,25.442
Colorado,Black Canyon of the Gunnison NP,297257,-107.7208,38.58167
Utah,Bryce Canyon NP,2354660,-112.1967,37.5548
Utah,Canyonlands NP,779147,-109.966,38.0252
Utah,Capitol Reef NP,1227608,-111.144,37.986
New Mexico,Carlsbad Caverns NP,390932,-104.4094,32.1648
California,Channel Islands NP,323245,-119.7425,34.0394
South Carolina,Congaree NP,204522,-80.78333,33.78333
Oregon,Crater Lake NP,527259,-122.0824,42.9173
Ohio,Cuyahoga Valley NP,2913312,-81.55701,41.20906
California,Death Valley NP,1108558,-116.4117,36.3027
Nevada,Death Valley NP,20309,-116.4117,36.3027
Alaska,Denali NP & PRES,427562,-149.27258,63.62165
Florida,Dry Tortugas NP,78488,-81.7862,24.6384
Florida,Everglades NP,1155193,-80.8934,25.4028
Alaska,Gates of the Arctic NP & PRES,9457,-153.2713,67.64657
Missouri,Gateway Arch NP,1618774,-90.184776,38.624691
Alaska,Glacier Bay NP & PRES,545758,-113.8672,48.616
Montana,Glacier NP,2908458,-113.8672,48.616
Arizona,Grand Canyon NP,4732101,-113.1975,36.1632
Wyoming,Grand Teton NP,2806223,-110.3824,43.9052
Nevada,Great Basin NP,142115,-114.1513,38.868
Colorado,Great Sand Dunes NP & PRES,493428,-105.55861,37.75444
North Carolina,Great Smoky Mountains NP,5692558,-83.5469,35.6536
Tennessee,Great Smoky Mountains NP,7245076,-83.5469,35.6536
Texas,Guadalupe Mountains NP,219987,-104.8835,31.812
Hawaii,Haleakala NP,1087616,-156.21039,20.71063
Hawaii,Hawaii Volcanoes NP,1580961,-155.3,19.4
Arkansas,Hot Springs NP,2646133,-93.0221,34.3796
Indiana,Indiana Dunes NP,2834180,-87.03256913,41.6660024
Michigan,Isle Royale NP,25454,-88.8917,47.9624
California,Joshua Tree NP,3058294,-116.0089,33.9529
Alaska,Katmai NP & PRES,33908,-154.88689,58.58305
Alaska,Kenai Fjords NP,389943,-150.08632,59.85136
California,Kings Canyon NP,640986,-118.3574,36.8481
Alaska,Kobuk Valley NP,16925,-159.13696,67.34409
Alaska,Lake Clark NP & PRES,18187,-154.32394,60.19943
California,Lassen Volcanic NP,446291,-121.4461,40.4579
Kentucky,Mammoth Cave NP,663147,-86.1839,37.104
Colorado,Mesa Verde NP,499790,-108.3871,37.1824
Washington,Mount Rainier NP,1622395,-121.4762,46.7981
American Samoa,National Park of American Samoa,1887,-170.6880556,-14.2619444
West Virginia,New River Gorge NP & PRES,1593523,-71.7837698,44.0372352
Washington,North Cascades NP,30154,-121.0219,48.4004
Washington,Olympic NP,2432972,-123.5455,47.6948
Arizona,Petrified Forest NP,505209,-109.7964,34.8892
California,Pinnacles NP,275023,-121.1711408,36.4862515
California,Redwood NP,458400,-123.9452,41.4771
Colorado,Rocky Mountain NP,4300424,-105.8307,40.3576
Arizona,Saguaro NP,908194,-111.1309,32.2432
California,Sequoia NP,1153198,-118.552,36.5231
Virginia,Shenandoah NP,1449300,-78.7041,38.2604
North Dakota,Theodore Roosevelt NP,668679,-103.2491,47.3352
Virgin Islands,Virgin Islands NP,196752,-64.74001184,18.33688305
Minnesota,Voyageurs NP,221434,-93.0169,48.0996
New Mexico,White Sands NP,705127,-106.331193,32.76418085
South Dakota,Wind Cave NP,607418,-102.8731,43.4348
Alaska,Wrangell-St. Elias NP & PRES,65236,-143.2166,61.24284
Montana,Yellowstone NP,1678023,-110.355,44.5716
Wyoming,Yellowstone NP,1612219,-110.355,44.5716
California,Yosemite NP,3667550,-119.6195,37.8231
Utah,Zion NP,4692417,-112.9735,37.3